74037 silly lifecycle is-arrayish@0.2.1~preinstall: no script for preinstall, continuing
75849 info linkStuff dashdash@1.14.1
75850 silly linkStuff dashdash@1.14.1 has F:\taoaixin\node_modules as its parent node_modules
75851 verbose linkBins dashdash@1.14.1
75852 verbose linkMans dashdash@1.14.1
75853 silly build date-now@0.1.4
75854 info linkStuff date-now@0.1.4
75855 silly linkStuff date-now@0.1.4 has F:\taoaixin\node_modules as its parent node_modules
75856 verbose linkBins date-now@0.1.4
75857 verbose linkMans date-now@0.1.4
75858 silly build console-browserify@1.1.0
75859 info linkStuff console-browserify@1.1.0
75860 silly linkStuff console-browserify@1.1.0 has F:\taoaixin\node_modules as its parent node_modules
75861 verbose linkBins console-browserify@1.1.0
75862 verbose linkMans console-browserify@1.1.0
75863 silly build de-indent@1.0.2
75864 info linkStuff de-indent@1.0.2
75865 silly linkStuff de-indent@1.0.2 has F:\taoaixin\node_modules as its parent node_modules
75866 verbose linkBins de-indent@1.0.2
75867 verbose linkMans de-indent@1.0.2
75868 silly build deap@1.0.0
75869 info linkStuff deap@1.0.0
75870 silly linkStuff deap@1.0.0 has F:\taoaixin\node_modules as its parent node_modules
75871 verbose linkBins deap@1.0.0
75872 verbose linkMans deap@1.0.0
75873 silly build object-assign@4.1.0
75874 info linkStuff object-assign@4.1.0
75875 silly linkStuff object-assign@4.1.0 has F:\taoaixin\node_modules\debug-fabulous\node_modules as its parent node_modules
75876 verbose linkBins object-assign@4.1.0
75877 verbose linkMans object-assign@4.1.0
75878 silly build decamelize@1.2.0
75879 info linkStuff decamelize@1.2.0
75880 silly linkStuff decamelize@1.2.0 has F:\taoaixin\node_modules as its parent node_modules
75881 verbose linkBins decamelize@1.2.0
75882 verbose linkMans decamelize@1.2.0
75883 silly build defaults@1.0.3
75884 info linkStuff defaults@1.0.3
75885 silly linkStuff defaults@1.0.3 has F:\taoaixin\node_modules as its parent node_modules
75886 verbose linkBins defaults@1.0.3
75887 verbose linkMans defaults@1.0.3
75888 silly build defined@1.0.0
75889 info linkStuff defined@1.0.0
75890 silly linkStuff defined@1.0.0 has F:\taoaixin\node_modules as its parent node_modules
75891 verbose linkBins defined@1.0.0
75892 verbose linkMans defined@1.0.0
75893 silly build object-assign@4.1.0
75894 info linkStuff object-assign@4.1.0
75895 silly linkStuff object-assign@4.1.0 has F:\taoaixin\node_modules\del\node_modules as its parent node_modules
75896 verbose linkBins object-assign@4.1.0
75897 verbose linkMans object-assign@4.1.0
75898 silly build delayed-stream@1.0.0
75899 info linkStuff delayed-stream@1.0.0
75900 silly linkStuff delayed-stream@1.0.0 has F:\taoaixin\node_modules as its parent node_modules
75901 verbose linkBins delayed-stream@1.0.0
75902 verbose linkMans delayed-stream@1.0.0
75903 silly build combined-stream@1.0.5
75904 info linkStuff combined-stream@1.0.5
75905 silly linkStuff combined-stream@1.0.5 has F:\taoaixin\node_modules as its parent node_modules
75906 verbose linkBins combined-stream@1.0.5
75907 verbose linkMans combined-stream@1.0.5
75908 silly build delegates@1.0.0
75909 info linkStuff delegates@1.0.0
75910 silly linkStuff delegates@1.0.0 has F:\taoaixin\node_modules as its parent node_modules
75911 verbose linkBins delegates@1.0.0
75912 verbose linkMans delegates@1.0.0
75913 silly build deprecated@0.0.1
75914 info linkStuff deprecated@0.0.1
75915 silly linkStuff deprecated@0.0.1 has F:\taoaixin\node_modules as its parent node_modules
75916 verbose linkBins deprecated@0.0.1
75917 verbose linkMans deprecated@0.0.1
75918 silly build detect-newline@2.1.0
75919 info linkStuff detect-newline@2.1.0
75920 silly linkStuff detect-newline@2.1.0 has F:\taoaixin\node_modules as its parent node_modules
75921 verbose linkBins detect-newline@2.1.0
75922 verbose linkMans detect-newline@2.1.0
75923 silly build domain-browser@1.1.7
75924 info linkStuff domain-browser@1.1.7
75925 silly linkStuff domain-browser@1.1.7 has F:\taoaixin\node_modules as its parent node_modules
75926 verbose linkBins domain-browser@1.1.7
75927 verbose linkMans domain-browser@1.1.7
75928 silly build isarray@1.0.0
75929 info linkStuff isarray@1.0.0
75930 silly linkStuff isarray@1.0.0 has F:\taoaixin\node_modules\duplexify\node_modules as its parent node_modules
75931 verbose linkBins isarray@1.0.0
75932 verbose linkMans isarray@1.0.0
75933 silly build emojis-list@2.1.0
75934 info linkStuff emojis-list@2.1.0
75935 silly linkStuff emojis-list@2.1.0 has F:\taoaixin\node_modules as its parent node_modules
75936 verbose linkBins emojis-list@2.1.0
75937 verbose linkMans emojis-list@2.1.0
75938 silly build object-assign@4.1.0
75939 info linkStuff object-assign@4.1.0
75940 silly linkStuff object-assign@4.1.0 has F:\taoaixin\node_modules\enhanced-resolve\node_modules as its parent node_modules
75941 verbose linkBins object-assign@4.1.0
75942 verbose linkMans object-assign@4.1.0
75943 silly build es6-symbol@3.1.0
75944 info linkStuff es6-symbol@3.1.0
75945 silly linkStuff es6-symbol@3.1.0 has F:\taoaixin\node_modules as its parent node_modules
75946 verbose linkBins es6-symbol@3.1.0
75947 verbose linkMans es6-symbol@3.1.0
75948 silly build es6-iterator@2.0.0
75949 info linkStuff es6-iterator@2.0.0
75950 silly linkStuff es6-iterator@2.0.0 has F:\taoaixin\node_modules as its parent node_modules
75951 verbose linkBins es6-iterator@2.0.0
75952 verbose linkMans es6-iterator@2.0.0
75953 silly build es5-ext@0.10.12
75954 info linkStuff es5-ext@0.10.12
75955 silly linkStuff es5-ext@0.10.12 has F:\taoaixin\node_modules as its parent node_modules
75956 verbose linkBins es5-ext@0.10.12
75957 verbose linkMans es5-ext@0.10.12
75958 silly build d@0.1.1
75959 info linkStuff d@0.1.1
75960 silly linkStuff d@0.1.1 has F:\taoaixin\node_modules as its parent node_modules
75961 verbose linkBins d@0.1.1
75962 verbose linkMans d@0.1.1
75963 silly build escape-string-regexp@1.0.5
75964 info linkStuff escape-string-regexp@1.0.5
75965 silly linkStuff escape-string-regexp@1.0.5 has F:\taoaixin\node_modules as its parent node_modules
75966 verbose linkBins escape-string-regexp@1.0.5
75967 verbose linkMans escape-string-regexp@1.0.5
75968 silly build esprima@3.0.0
75969 info linkStuff esprima@3.0.0
75970 silly linkStuff esprima@3.0.0 has F:\taoaixin\node_modules as its parent node_modules
75971 verbose linkBins esprima@3.0.0
75972 verbose link bins [ { esparse: './bin/esparse.js',
75972 verbose link bins     esvalidate: './bin/esvalidate.js' },
75972 verbose link bins   'F:\\taoaixin\\node_modules\\.bin',
75972 verbose link bins   false ]
75973 verbose linkMans esprima@3.0.0
75974 silly build events@1.1.1
75975 info linkStuff events@1.1.1
75976 silly linkStuff events@1.1.1 has F:\taoaixin\node_modules as its parent node_modules
75977 verbose linkBins events@1.1.1
75978 verbose linkMans events@1.1.1
75979 silly build extend@3.0.0
75980 info linkStuff extend@3.0.0
75981 silly linkStuff extend@3.0.0 has F:\taoaixin\node_modules as its parent node_modules
75982 verbose linkBins extend@3.0.0
75983 verbose linkMans extend@3.0.0
75984 silly build extsprintf@1.0.2
75985 info linkStuff extsprintf@1.0.2
75986 silly linkStuff extsprintf@1.0.2 has F:\taoaixin\node_modules as its parent node_modules
75987 verbose linkBins extsprintf@1.0.2
75988 verbose linkMans extsprintf@1.0.2
75989 silly build fastparse@1.1.1
75990 info linkStuff fastparse@1.1.1
75991 silly linkStuff fastparse@1.1.1 has F:\taoaixin\node_modules as its parent node_modules
75992 verbose linkBins fastparse@1.1.1
75993 verbose linkMans fastparse@1.1.1
75994 silly build css-selector-tokenizer@0.5.4
75995 info linkStuff css-selector-tokenizer@0.5.4
75996 silly linkStuff css-selector-tokenizer@0.5.4 has F:\taoaixin\node_modules as its parent node_modules
75997 verbose linkBins css-selector-tokenizer@0.5.4
75998 verbose linkMans css-selector-tokenizer@0.5.4
75999 silly build filename-regex@2.0.0
76000 info linkStuff filename-regex@2.0.0
76001 silly linkStuff filename-regex@2.0.0 has F:\taoaixin\node_modules as its parent node_modules
76002 verbose linkBins filename-regex@2.0.0
76003 verbose linkMans filename-regex@2.0.0
76004 silly build find-index@0.1.1
76005 info linkStuff find-index@0.1.1
76006 silly linkStuff find-index@0.1.1 has F:\taoaixin\node_modules as its parent node_modules
76007 verbose linkBins find-index@0.1.1
76008 verbose linkMans find-index@0.1.1
76009 silly build first-chunk-stream@1.0.0
76010 info linkStuff first-chunk-stream@1.0.0
76011 silly linkStuff first-chunk-stream@1.0.0 has F:\taoaixin\node_modules as its parent node_modules
76012 verbose linkBins first-chunk-stream@1.0.0
76013 verbose linkMans first-chunk-stream@1.0.0
76014 silly build flagged-respawn@0.3.2
76015 info linkStuff flagged-respawn@0.3.2
76016 silly linkStuff flagged-respawn@0.3.2 has F:\taoaixin\node_modules as its parent node_modules
76017 verbose linkBins flagged-respawn@0.3.2
76018 verbose linkMans flagged-respawn@0.3.2
76019 silly build flatten@1.0.2
76020 info linkStuff flatten@1.0.2
76021 silly linkStuff flatten@1.0.2 has F:\taoaixin\node_modules as its parent node_modules
76022 verbose linkBins flatten@1.0.2
76023 verbose linkMans flatten@1.0.2
76024 silly build for-in@0.1.6
76025 info linkStuff for-in@0.1.6
76026 silly linkStuff for-in@0.1.6 has F:\taoaixin\node_modules as its parent node_modules
76027 verbose linkBins for-in@0.1.6
76028 verbose linkMans for-in@0.1.6
76029 silly build for-own@0.1.4
76030 info linkStuff for-own@0.1.4
76031 silly linkStuff for-own@0.1.4 has F:\taoaixin\node_modules as its parent node_modules
76032 verbose linkBins for-own@0.1.4
76033 verbose linkMans for-own@0.1.4
76034 silly build forever-agent@0.6.1
76035 info linkStuff forever-agent@0.6.1
76036 silly linkStuff forever-agent@0.6.1 has F:\taoaixin\node_modules as its parent node_modules
76037 verbose linkBins forever-agent@0.6.1
76038 verbose linkMans forever-agent@0.6.1
76039 silly build fork-stream@0.0.4
76040 info linkStuff fork-stream@0.0.4
76041 silly linkStuff fork-stream@0.0.4 has F:\taoaixin\node_modules as its parent node_modules
76042 verbose linkBins fork-stream@0.0.4
76043 verbose linkMans fork-stream@0.0.4
76044 silly build fs-exists-sync@0.1.0
76045 info linkStuff fs-exists-sync@0.1.0
76046 silly linkStuff fs-exists-sync@0.1.0 has F:\taoaixin\node_modules as its parent node_modules
76047 verbose linkBins fs-exists-sync@0.1.0
76048 verbose linkMans fs-exists-sync@0.1.0
76049 silly build detect-file@0.1.0
76050 info linkStuff detect-file@0.1.0
76051 silly linkStuff detect-file@0.1.0 has F:\taoaixin\node_modules as its parent node_modules
76052 verbose linkBins detect-file@0.1.0
76053 verbose linkMans detect-file@0.1.0
76054 silly build fs.realpath@1.0.0
76055 info linkStuff fs.realpath@1.0.0
76056 silly linkStuff fs.realpath@1.0.0 has F:\taoaixin\node_modules as its parent node_modules
76057 verbose linkBins fs.realpath@1.0.0
76058 verbose linkMans fs.realpath@1.0.0
76059 silly build function-bind@1.1.0
76060 info linkStuff function-bind@1.1.0
76061 silly linkStuff function-bind@1.1.0 has F:\taoaixin\node_modules as its parent node_modules
76062 verbose linkBins function-bind@1.1.0
76063 verbose linkMans function-bind@1.1.0
76064 silly build object-assign@4.1.0
76065 info linkStuff object-assign@4.1.0
76066 silly linkStuff object-assign@4.1.0 has F:\taoaixin\node_modules\gauge\node_modules as its parent node_modules
76067 verbose linkBins object-assign@4.1.0
76068 verbose linkMans object-assign@4.1.0
76069 silly build generate-function@2.0.0
76070 info linkStuff generate-function@2.0.0
76071 silly linkStuff generate-function@2.0.0 has F:\taoaixin\node_modules as its parent node_modules
76072 verbose linkBins generate-function@2.0.0
76073 verbose linkMans generate-function@2.0.0
76074 silly build get-caller-file@1.0.2
76075 info linkStuff get-caller-file@1.0.2
76076 silly linkStuff get-caller-file@1.0.2 has F:\taoaixin\node_modules as its parent node_modules
76077 verbose linkBins get-caller-file@1.0.2
76078 verbose linkMans get-caller-file@1.0.2
76079 silly build get-stdin@4.0.1
76080 info linkStuff get-stdin@4.0.1
76081 silly linkStuff get-stdin@4.0.1 has F:\taoaixin\node_modules as its parent node_modules
76082 verbose linkBins get-stdin@4.0.1
76083 verbose linkMans get-stdin@4.0.1
76084 silly build assert-plus@1.0.0
76085 info linkStuff assert-plus@1.0.0
76086 silly linkStuff assert-plus@1.0.0 has F:\taoaixin\node_modules\getpass\node_modules as its parent node_modules
76087 verbose linkBins assert-plus@1.0.0
76088 verbose linkMans assert-plus@1.0.0
76089 silly build getpass@0.1.6
76090 info linkStuff getpass@0.1.6
76091 silly linkStuff getpass@0.1.6 has F:\taoaixin\node_modules as its parent node_modules
76092 verbose linkBins getpass@0.1.6
76093 verbose linkMans getpass@0.1.6
76094 silly build glob2base@0.0.12
76095 info linkStuff glob2base@0.0.12
76096 silly linkStuff glob2base@0.0.12 has F:\taoaixin\node_modules as its parent node_modules
76097 verbose linkBins glob2base@0.0.12
76098 verbose linkMans glob2base@0.0.12
76099 silly build minimatch@3.0.3
76100 info linkStuff minimatch@3.0.3
76101 silly linkStuff minimatch@3.0.3 has F:\taoaixin\node_modules\globby\node_modules as its parent node_modules
76102 verbose linkBins minimatch@3.0.3
76103 verbose linkMans minimatch@3.0.3
76104 silly build object-assign@4.1.0
76105 info linkStuff object-assign@4.1.0
76106 silly linkStuff object-assign@4.1.0 has F:\taoaixin\node_modules\globby\node_modules as its parent node_modules
76107 verbose linkBins object-assign@4.1.0
76108 verbose linkMans object-assign@4.1.0
76109 silly build graceful-fs@1.2.3
76110 info linkStuff graceful-fs@1.2.3
76111 silly linkStuff graceful-fs@1.2.3 has F:\taoaixin\node_modules\globule\node_modules as its parent node_modules
76112 verbose linkBins graceful-fs@1.2.3
76113 verbose linkMans graceful-fs@1.2.3
76114 silly build inherits@1.0.2
76115 info linkStuff inherits@1.0.2
76116 silly linkStuff inherits@1.0.2 has F:\taoaixin\node_modules\globule\node_modules as its parent node_modules
76117 verbose linkBins inherits@1.0.2
76118 verbose linkMans inherits@1.0.2
76119 silly build lodash@1.0.2
76120 info linkStuff lodash@1.0.2
76121 silly linkStuff lodash@1.0.2 has F:\taoaixin\node_modules\globule\node_modules as its parent node_modules
76122 verbose linkBins lodash@1.0.2
76123 verbose linkMans lodash@1.0.2
76124 silly build graceful-fs@4.1.11
76125 info linkStuff graceful-fs@4.1.11
76126 silly linkStuff graceful-fs@4.1.11 has F:\taoaixin\node_modules as its parent node_modules
76127 verbose linkBins graceful-fs@4.1.11
76128 verbose linkMans graceful-fs@4.1.11
76129 silly build graceful-readlink@1.0.1
76130 info linkStuff graceful-readlink@1.0.1
76131 silly linkStuff graceful-readlink@1.0.1 has F:\taoaixin\node_modules as its parent node_modules
76132 verbose linkBins graceful-readlink@1.0.1
76133 verbose linkMans graceful-readlink@1.0.1
76134 silly build commander@2.8.1
76135 info linkStuff commander@2.8.1
76136 silly linkStuff commander@2.8.1 has F:\taoaixin\node_modules as its parent node_modules
76137 verbose linkBins commander@2.8.1
76138 verbose linkMans commander@2.8.1
76139 silly build clean-css@3.4.22
76140 info linkStuff clean-css@3.4.22
76141 silly linkStuff clean-css@3.4.22 has F:\taoaixin\node_modules as its parent node_modules
76142 verbose linkBins clean-css@3.4.22
76143 verbose link bins [ { cleancss: './bin/cleancss' },
76143 verbose link bins   'F:\\taoaixin\\node_modules\\.bin',
76143 verbose link bins   false ]
76144 verbose linkMans clean-css@3.4.22
76145 silly build commander@2.9.0
76146 info linkStuff commander@2.9.0
76147 silly linkStuff commander@2.9.0 has F:\taoaixin\node_modules\editorconfig\node_modules as its parent node_modules
76148 verbose linkBins commander@2.9.0
76149 verbose linkMans commander@2.9.0
76150 silly build growly@1.3.0
76151 info linkStuff growly@1.3.0
76152 silly linkStuff growly@1.3.0 has F:\taoaixin\node_modules as its parent node_modules
76153 verbose linkBins growly@1.3.0
76154 verbose linkMans growly@1.3.0
76155 silly build clone-stats@1.0.0
76156 info linkStuff clone-stats@1.0.0
76157 silly linkStuff clone-stats@1.0.0 has F:\taoaixin\node_modules\gulp-concat\node_modules as its parent node_modules
76158 verbose linkBins clone-stats@1.0.0
76159 verbose linkMans clone-stats@1.0.0
76160 silly build replace-ext@1.0.0
76161 info linkStuff replace-ext@1.0.0
76162 silly linkStuff replace-ext@1.0.0 has F:\taoaixin\node_modules\gulp-concat\node_modules as its parent node_modules
76163 verbose linkBins replace-ext@1.0.0
76164 verbose linkMans replace-ext@1.0.0
76165 silly build object-assign@4.1.0
76166 info linkStuff object-assign@4.1.0
76167 silly linkStuff object-assign@4.1.0 has F:\taoaixin\node_modules\gulp-less\node_modules as its parent node_modules
76168 verbose linkBins object-assign@4.1.0
76169 verbose linkMans object-assign@4.1.0
76170 silly build minimatch@3.0.3
76171 info linkStuff minimatch@3.0.3
76172 silly linkStuff minimatch@3.0.3 has F:\taoaixin\node_modules\gulp-match\node_modules as its parent node_modules
76173 verbose linkBins minimatch@3.0.3
76174 verbose linkMans minimatch@3.0.3
76175 silly build gulp-match@1.0.3
76176 info linkStuff gulp-match@1.0.3
76177 silly linkStuff gulp-match@1.0.3 has F:\taoaixin\node_modules as its parent node_modules
76178 verbose linkBins gulp-match@1.0.3
76179 verbose linkMans gulp-match@1.0.3
76180 silly build isarray@1.0.0
76181 info linkStuff isarray@1.0.0
76182 silly linkStuff isarray@1.0.0 has F:\taoaixin\node_modules\gulp-minify-css\node_modules as its parent node_modules
76183 verbose linkBins isarray@1.0.0
76184 verbose linkMans isarray@1.0.0
76185 silly build object-assign@4.1.0
76186 info linkStuff object-assign@4.1.0
76187 silly linkStuff object-assign@4.1.0 has F:\taoaixin\node_modules\gulp-minify-css\node_modules as its parent node_modules
76188 verbose linkBins object-assign@4.1.0
76189 verbose linkMans object-assign@4.1.0
76190 silly build gulp-rename@1.2.2
76191 info linkStuff gulp-rename@1.2.2
76192 silly linkStuff gulp-rename@1.2.2 has F:\taoaixin\node_modules as its parent node_modules
76193 verbose linkBins gulp-rename@1.2.2
76194 verbose linkMans gulp-rename@1.2.2
76195 silly build object-assign@4.1.0
76196 info linkStuff object-assign@4.1.0
76197 silly linkStuff object-assign@4.1.0 has F:\taoaixin\node_modules\gulp-rev\node_modules as its parent node_modules
76198 verbose linkBins object-assign@4.1.0
76199 verbose linkMans object-assign@4.1.0
76200 silly build lodash.clonedeep@4.5.0
76201 info linkStuff lodash.clonedeep@4.5.0
76202 silly linkStuff lodash.clonedeep@4.5.0 has F:\taoaixin\node_modules\gulp-sass\node_modules as its parent node_modules
76203 verbose linkBins lodash.clonedeep@4.5.0
76204 verbose linkMans lodash.clonedeep@4.5.0
76205 silly build async@1.5.2
76206 info linkStuff async@1.5.2
76207 silly linkStuff async@1.5.2 has F:\taoaixin\node_modules\gulp-shell\node_modules as its parent node_modules
76208 verbose linkBins async@1.5.2
76209 verbose linkMans async@1.5.2
76210 silly build strip-bom@3.0.0
76211 info linkStuff strip-bom@3.0.0
76212 silly linkStuff strip-bom@3.0.0 has F:\taoaixin\node_modules\gulp-sourcemaps\node_modules as its parent node_modules
76213 verbose linkBins strip-bom@3.0.0
76214 verbose linkMans strip-bom@3.0.0
76215 silly build commander@2.9.0
76216 info linkStuff commander@2.9.0
76217 silly linkStuff commander@2.9.0 has F:\taoaixin\node_modules\har-validator\node_modules as its parent node_modules
76218 verbose linkBins commander@2.9.0
76219 verbose linkMans commander@2.9.0
76220 silly build has@1.0.1
76221 info linkStuff has@1.0.1
76222 silly linkStuff has@1.0.1 has F:\taoaixin\node_modules as its parent node_modules
76223 verbose linkBins has@1.0.1
76224 verbose linkMans has@1.0.1
76225 silly build colormin@1.1.2
76226 info linkStuff colormin@1.1.2
76227 silly linkStuff colormin@1.1.2 has F:\taoaixin\node_modules as its parent node_modules
76228 verbose linkBins colormin@1.1.2
76229 verbose linkMans colormin@1.1.2
76230 silly build has-ansi@2.0.0
76231 info linkStuff has-ansi@2.0.0
76232 silly linkStuff has-ansi@2.0.0 has F:\taoaixin\node_modules as its parent node_modules
76233 verbose linkBins has-ansi@2.0.0
76234 verbose linkMans has-ansi@2.0.0
76235 silly build has-color@0.1.7
76236 info linkStuff has-color@0.1.7
76237 silly linkStuff has-color@0.1.7 has F:\taoaixin\node_modules as its parent node_modules
76238 verbose linkBins has-color@0.1.7
76239 verbose linkMans has-color@0.1.7
76240 silly build has-flag@1.0.0
76241 info linkStuff has-flag@1.0.0
76242 silly linkStuff has-flag@1.0.0 has F:\taoaixin\node_modules as its parent node_modules
76243 verbose linkBins has-flag@1.0.0
76244 verbose linkMans has-flag@1.0.0
76245 silly build has-unicode@2.0.1
76246 info linkStuff has-unicode@2.0.1
76247 silly linkStuff has-unicode@2.0.1 has F:\taoaixin\node_modules as its parent node_modules
76248 verbose linkBins has-unicode@2.0.1
76249 verbose linkMans has-unicode@2.0.1
76250 silly build hash-sum@1.0.2
76251 info linkStuff hash-sum@1.0.2
76252 silly linkStuff hash-sum@1.0.2 has F:\taoaixin\node_modules as its parent node_modules
76253 verbose linkBins hash-sum@1.0.2
76254 verbose linkMans hash-sum@1.0.2
76255 silly build he@1.1.0
76256 info linkStuff he@1.1.0
76257 silly linkStuff he@1.1.0 has F:\taoaixin\node_modules as its parent node_modules
76258 verbose linkBins he@1.1.0
76259 verbose link bins [ { he: 'bin/he' }, 'F:\\taoaixin\\node_modules\\.bin', false ]
76260 verbose linkMans he@1.1.0
76261 silly build hoek@2.16.3
76262 info linkStuff hoek@2.16.3
76263 silly linkStuff hoek@2.16.3 has F:\taoaixin\node_modules as its parent node_modules
76264 verbose linkBins hoek@2.16.3
76265 verbose linkMans hoek@2.16.3
76266 silly build boom@2.10.1
76267 info linkStuff boom@2.10.1
76268 silly linkStuff boom@2.10.1 has F:\taoaixin\node_modules as its parent node_modules
76269 verbose linkBins boom@2.10.1
76270 verbose linkMans boom@2.10.1
76271 silly build cryptiles@2.0.5
76272 info linkStuff cryptiles@2.0.5
76273 silly linkStuff cryptiles@2.0.5 has F:\taoaixin\node_modules as its parent node_modules
76274 verbose linkBins cryptiles@2.0.5
76275 verbose linkMans cryptiles@2.0.5
76276 silly build hosted-git-info@2.1.5
76277 info linkStuff hosted-git-info@2.1.5
76278 silly linkStuff hosted-git-info@2.1.5 has F:\taoaixin\node_modules as its parent node_modules
76279 verbose linkBins hosted-git-info@2.1.5
76280 verbose linkMans hosted-git-info@2.1.5
76281 silly build html-comment-regex@1.1.1
76282 info linkStuff html-comment-regex@1.1.1
76283 silly linkStuff html-comment-regex@1.1.1 has F:\taoaixin\node_modules as its parent node_modules
76284 verbose linkBins html-comment-regex@1.1.1
76285 verbose linkMans html-comment-regex@1.1.1
76286 silly build https-browserify@0.0.1
76287 info linkStuff https-browserify@0.0.1
76288 silly linkStuff https-browserify@0.0.1 has F:\taoaixin\node_modules as its parent node_modules
76289 verbose linkBins https-browserify@0.0.1
76290 verbose linkMans https-browserify@0.0.1
76291 silly build icss-replace-symbols@1.0.2
76292 info linkStuff icss-replace-symbols@1.0.2
76293 silly linkStuff icss-replace-symbols@1.0.2 has F:\taoaixin\node_modules as its parent node_modules
76294 verbose linkBins icss-replace-symbols@1.0.2
76295 verbose linkMans icss-replace-symbols@1.0.2
76296 silly build ieee754@1.1.8
76297 info linkStuff ieee754@1.1.8
76298 silly linkStuff ieee754@1.1.8 has F:\taoaixin\node_modules as its parent node_modules
76299 verbose linkBins ieee754@1.1.8
76300 verbose linkMans ieee754@1.1.8
76301 silly build buffer@4.9.1
76302 info linkStuff buffer@4.9.1
76303 silly linkStuff buffer@4.9.1 has F:\taoaixin\node_modules as its parent node_modules
76304 verbose linkBins buffer@4.9.1
76305 verbose linkMans buffer@4.9.1
76306 silly build image-size@0.5.0
76307 info linkStuff image-size@0.5.0
76308 silly linkStuff image-size@0.5.0 has F:\taoaixin\node_modules as its parent node_modules
76309 verbose linkBins image-size@0.5.0
76310 verbose link bins [ { 'image-size': 'bin/image-size.js' },
76310 verbose link bins   'F:\\taoaixin\\node_modules\\.bin',
76310 verbose link bins   false ]
76311 verbose linkMans image-size@0.5.0
76312 silly build in-publish@2.0.0
76313 info linkStuff in-publish@2.0.0
76314 silly linkStuff in-publish@2.0.0 has F:\taoaixin\node_modules as its parent node_modules
76315 verbose linkBins in-publish@2.0.0
76316 verbose link bins [ { 'in-publish': 'in-publish.js',
76316 verbose link bins     'in-install': 'in-install.js',
76316 verbose link bins     'not-in-publish': 'not-in-publish.js',
76316 verbose link bins     'not-in-install': 'not-in-install.js' },
76316 verbose link bins   'F:\\taoaixin\\node_modules\\.bin',
76316 verbose link bins   false ]
76317 verbose linkMans in-publish@2.0.0
76318 silly build indexes-of@1.0.1
76319 info linkStuff indexes-of@1.0.1
76320 silly linkStuff indexes-of@1.0.1 has F:\taoaixin\node_modules as its parent node_modules
76321 verbose linkBins indexes-of@1.0.1
76322 verbose linkMans indexes-of@1.0.1
76323 silly build indexof@0.0.1
76324 info linkStuff indexof@0.0.1
76325 silly linkStuff indexof@0.0.1 has F:\taoaixin\node_modules as its parent node_modules
76326 verbose linkBins indexof@0.0.1
76327 verbose linkMans indexof@0.0.1
76328 silly build indx@0.2.3
76329 info linkStuff indx@0.2.3
76330 silly linkStuff indx@0.2.3 has F:\taoaixin\node_modules as its parent node_modules
76331 verbose linkBins indx@0.2.3
76332 verbose linkMans indx@0.2.3
76333 silly build inherits@2.0.3
76334 info linkStuff inherits@2.0.3
76335 silly linkStuff inherits@2.0.3 has F:\taoaixin\node_modules as its parent node_modules
76336 verbose linkBins inherits@2.0.3
76337 verbose linkMans inherits@2.0.3
76338 silly build block-stream@0.0.9
76339 info linkStuff block-stream@0.0.9
76340 silly linkStuff block-stream@0.0.9 has F:\taoaixin\node_modules as its parent node_modules
76341 verbose linkBins block-stream@0.0.9
76342 verbose linkMans block-stream@0.0.9
76343 silly build cipher-base@1.0.3
76344 info linkStuff cipher-base@1.0.3
76345 silly linkStuff cipher-base@1.0.3 has F:\taoaixin\node_modules as its parent node_modules
76346 verbose linkBins cipher-base@1.0.3
76347 verbose linkMans cipher-base@1.0.3
76348 silly build hash.js@1.0.3
76349 info linkStuff hash.js@1.0.3
76350 silly linkStuff hash.js@1.0.3 has F:\taoaixin\node_modules as its parent node_modules
76351 verbose linkBins hash.js@1.0.3
76352 verbose linkMans hash.js@1.0.3
76353 silly build elliptic@6.3.2
76354 info linkStuff elliptic@6.3.2
76355 silly linkStuff elliptic@6.3.2 has F:\taoaixin\node_modules as its parent node_modules
76356 verbose linkBins elliptic@6.3.2
76357 verbose linkMans elliptic@6.3.2
76358 silly build create-ecdh@4.0.0
76359 info linkStuff create-ecdh@4.0.0
76360 silly linkStuff create-ecdh@4.0.0 has F:\taoaixin\node_modules as its parent node_modules
76361 verbose linkBins create-ecdh@4.0.0
76362 verbose linkMans create-ecdh@4.0.0
76363 silly build ini@1.3.4
76364 info linkStuff ini@1.3.4
76365 silly linkStuff ini@1.3.4 has F:\taoaixin\node_modules as its parent node_modules
76366 verbose linkBins ini@1.3.4
76367 verbose linkMans ini@1.3.4
76368 silly build interpret@1.0.1
76369 info linkStuff interpret@1.0.1
76370 silly linkStuff interpret@1.0.1 has F:\taoaixin\node_modules as its parent node_modules
76371 verbose linkBins interpret@1.0.1
76372 verbose linkMans interpret@1.0.1
76373 silly build invert-kv@1.0.0
76374 info linkStuff invert-kv@1.0.0
76375 silly linkStuff invert-kv@1.0.0 has F:\taoaixin\node_modules as its parent node_modules
76376 verbose linkBins invert-kv@1.0.0
76377 verbose linkMans invert-kv@1.0.0
76378 silly build is@3.2.0
76379 info linkStuff is@3.2.0
76380 silly linkStuff is@3.2.0 has F:\taoaixin\node_modules as its parent node_modules
76381 verbose linkBins is@3.2.0
76382 verbose linkMans is@3.2.0
76383 silly build is-absolute-url@2.1.0
76384 info linkStuff is-absolute-url@2.1.0
76385 silly linkStuff is-absolute-url@2.1.0 has F:\taoaixin\node_modules as its parent node_modules
